,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
Men's pants and shorts,116.467,116.798,116.765,117.118,115.994,117.131,117.285,117.132,118.842,117.43,116.473,116.966
Boys' apparel,112.904,114.452,110.693,107.173,107.806,108.752,109.988,111.013,112.498,109.704,107.535,108.089
Women's and girls' apparel,109.116,108.645,106.8,106.584,106.784,107.267,107.931,107.831,106.417,103.512,105.048,105.537
Women's apparel,112.173,110.934,109.554,109.347,109.51,109.047,109.95,110.439,109.021,106.113,107.502,107.791
Women's outerwear,108.186,108.902,106.598,105.664,104.719,107.592,109.414,104.248,102.167,101.141,100.724,100.663
Women's dresses,121.11,121.174,118.141,116.925,117.696,116.508,116.958,113.769,113.859,114.274,113.67,114.356
Women's suits and separates,78.705,76.881,75.262,75.27,74.984,74.752,76.004,77.672,75.843,72.288,74.277,74.885
"Women's underwear, nightwear, swimwear, and accessories",104.253,102.343,104.556,105.58,104.483,104.628,104.302,104.065,104.899,104.242,103.456,103.041
Girls' apparel,93.814,97.209,93.022,92.759,93.144,98.394,97.854,94.79,93.393,90.502,92.777,94.274
Footwear,138.198,138.257,135.986,134.085,134.502,136.127,136.191,137.411,137.484,137.105,137.621,137.594
Men's footwear,142.98,141.71,139.937,137.391,138.904,138.28,137.726,140.848,142.927,142.0,141.208,138.699
Boys' and girls' footwear,156.974,161.034,158.034,156.191,153.056,154.918,156.915,157.479,156.44,157.388,157.689,156.731
Women's footwear,124.094,124.45,123.128,122.683,122.64,124.158,124.098,125.197,125.216,124.395,125.209,125.308
Infants' and toddlers' apparel,120.042,122.06,121.658,121.011,121.121,120.32,119.216,118.943,118.169,116.421,116.552,116.639
Jewelry and watches,172.541,167.775,169.298,170.658,170.937,177.578,174.252,171.247,169.764,170.071,172.127,171.129
Watches,136.069,129.565,139.287,142.682,139.609,141.407,141.049,140.258,136.326,141.002,140.624,137.653
Jewelry,176.476,172.224,165.347,169.679,171.886,180.149,176.836,171.779,171.967,172.785,172.085,169.136
Transportation commodities less motor fuel,104.698,104.502,104.532,104.743,104.512,104.98,105.134,105.273,105.474,104.954,104.631,104.53
New vehicles,146.541,146.324,146.948,147.053,147.106,147.052,147.129,146.975,146.858,146.776,146.558,146.69
New cars and trucks,101.552,101.405,101.83,101.905,101.943,101.905,101.96,101.845,101.766,101.707,101.558,101.648
